t,S_obs,E_obs,I_obs,R_obs,S_true,E_true,I_true,R_true
42.21,0.8086795660834182,0.03867921021231362,0.0355247471117526,0.049846435008057105,0.8710633371744056,0.04297698179233253,0.03470398665244135,0.051255694380820706
42.216,1.1012294089286219,0.04458717771267992,0.035858092370608954,0.03838242772272485,0.8710270579139249,0.04298747171683715,0.0347131158837499,0.051272354485488295
42.222,0.8111742921789746,0.037288268167043614,0.03645009217489133,0.049430489854939794,0.870990770621693,0.042997963378606466,0.03472224702706096,0.05128901897263988
42.228,0.8134509511703838,0.038548748701372405,0.03291438844462714,0.07048721849160777,0.8709544752968414,0.04300845677746651,0.03473138008249909,0.05130568784319313
42.234,0.7636152419078399,0.04681289512721276,0.03506801346157553,0.04437749830172389,0.8709181719385027,0.043018951913243016,0.03474051505018868,0.05132236109806577
42.24,1.040169517106345,0.04584851277513476,0.03738558797901461,0.04714102369549185,0.8708818605458093,0.04302944878576141,0.03474965193025392,0.051339038738175594
42.246,1.1569382408280526,0.04180189017965773,0.04339518431691973,0.042091138175979495,0.870845541117894,0.04303994739484684,0.03475879072281886,0.05135572076444046
42.252,0.7653405448283893,0.044489020779932165,0.03872620477373103,0.051379483266181906,0.8708092136538905,0.04305044774032412,0.03476793142800733,0.05137240717777829
42.258,0.9610564952270193,0.04859767619518584,0.03969046182886954,0.047650846597164315,0.8707728781529324,0.04306094982201778,0.03477707404594303,0.051389097979107054
42.264,0.7750493215700768,0.044161731925453904,0.035393258263557305,0.04534962187235962,0.8707365346141539,0.043071453639752046,0.034786218576749454,0.05140579316934482
42.27,0.796930783149973,0.04105304682234085,0.029959632206769574,0.04686484798968353,0.8707001830366897,0.043081959193350845,0.034795365020549925,0.05142249274940968
42.276,0.9066537874076229,0.052233183837128945,0.033988642445457275,0.037240459959083066,0.870663823419675,0.0430924664826378,0.034804513377467594,0.051439196720219814
42.282000000000004,0.7818392584689731,0.03901202324649751,0.036241889754276245,0.04786576014725299,0.8706274557622451,0.043102975507436234,0.034813663647625434,0.051455905082693466
42.288000000000004,0.8797586810008117,0.04773463546458844,0.042015105672900815,0.051508421627175914,0.8705910800635359,0.04311348626756916,0.03482281583114624,0.051472617837748924
42.294000000000004,0.8716802467882043,0.03916621041610524,0.024244538425760957,0.0483777842195155,0.8705546963226837,0.0431239987628593,0.03483196992815264,0.05148933498630456
42.300000000000004,0.7915622858210529,0.04827116044818073,0.03226051643277658,0.05614307449329193,0.8705183045388253,0.043134512993129065,0.03484112593876708,0.051506056529278796
42.306,0.8551583739242662,0.041464716290289604,0.02550272590055142,0.0462915439965151,0.8704819047110978,0.04314502895820057,0.034850283863111814,0.05152278246759011
42.312,0.7521308310784782,0.04832113984205858,0.036210943095618744,0.05653697940666417,0.8704454968386385,0.04315554665789564,0.03485944370130895,0.05153951280215709
42.318,0.699693067873688,0.04549723992624621,0.03898131795383194,0.06330572404572059,0.8704090809205857,0.04316606609203578,0.03486860545348041,0.05155624753389835
42.324,1.0751337885659262,0.04969177095497919,0.029347163780276814,0.045539314186905315,0.8703726569560776,0.0431765872604422,0.03487776911974792,0.05157298666373255
42.33,0.5478494354746598,0.0513473999867614,0.02988573505535226,0.05483885105228391,0.8703362249442529,0.04318711016293581,0.03488693470023306,0.05158973019257845
42.336,0.6132365924920978,0.029969682325686486,0.02758327944402288,0.056448811155793074,0.870299784884251,0.04319763479933721,0.03489610219505721,0.05160647812135485
42.342,1.0034830565193136,0.0364700699115996,0.04417319069633497,0.051536258068975896,0.8702633367752113,0.04320816116946671,0.034905271604341585,0.05162323045098062
42.348,0.8089721580002145,0.0393083979324668,0.048709525748690134,0.05023833713357688,0.870226880616274,0.043218689273144324,0.03491444292820722,0.05163998718237471
42.354,0.7349000154807365,0.05254081347731258,0.030642533004607998,0.04434428246447982,0.8701904164065793,0.04322921911018974,0.03492361616677498,0.051656748316456114
42.36,0.8863668931610585,0.05242781852165039,0.03290246147906747,0.04327782193366428,0.8701539441452684,0.04323975068042236,0.03493279132016555,0.05167351385414389
42.366,0.6867868933221598,0.03256611708498004,0.04089182916802512,0.05540912508973547,0.8701174638314824,0.043250283983661285,0.03494196838849944,0.051690283796357164
42.372,0.9442447390869343,0.036017387257645875,0.028927676365386023,0.05467704189210164,0.8700809754643628,0.04326081901972532,0.03495114737189697,0.05170705814401513
42.378,0.7826556987047311,0.046992122594120396,0.028306119523155395,0.04984157292483778,0.8700444790430519,0.04327135578843295,0.03496032827047832,0.05172383689803704
42.384,0.8443382894214694,0.03931164240913731,0.025588212576291437,0.06063273132824202,0.8700079745666922,0.04328189428960237,0.03496951108436345,0.05174062005934222
